"id","case_name","court","filing_year","source_url","quote","source_date","ecourts_verification","status_caveat"
"1","Sambalpur Merchants Association v State of Orissa","Supreme Court of India (7-judge bench)","1994","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","Seven-judge bench | Pending for 30 years, 1 month and 19 days. This is the main matter related to resolving the Court's contradictory judgements in Hoechst Pharmaceuticals Ltd (1983) and India Cement Ltd (1988).","2024-03-30","Civil Appeal 1994; tagged with Arjun Flour Mills v State of Orissa - lookup needed",""
"2","Arjun Flour Mills v State of Orissa","Supreme Court of India (7-judge bench)","1994","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","After the Odisha government amended the Odisha Sales Tax to levy an additional tax on dealers, a civil appeal was filed in the Supreme Court in 1994. In 1999, the case was referred to a seven-judge bench. On 7 October 2023, the Court listed the case for directions for the first time since 2016.","2024-03-30","lookup needed",""
"3","Maharana Mahendra Singh Ji v Maharaja Arvind Singhji","Supreme Court of India (Division Bench)","1993","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","24 cases have been pending for 30 years or more.","2024-03-30","lookup needed",""
"4","Manju Kacholia v State of Maharashtra","Supreme Court of India (9-judge bench - Property Owners' connected matter)","1993","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","The Manju Kacholia matter arises from a challenge to a 1993 judgement of the Bombay High Court.","2024-03-30","lookup needed","Lead matter (Property Owners') decided 5 Nov 2024; status of this connected matter post-judgment requires verification."
"5","Abhiram Singh v C.D. Commachen","Supreme Court of India (5-judge bench)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","24 cause titles have been pending for 30 years or more per the Supreme Court Registry's RTI response.","2024-03-30","lookup needed","A 2017 5-judge ruling clarified one issue but the broader Hindutva-as-religion question and underlying appeal remained pending at time of article."
"6","Property Owners' Association v State of Maharashtra (main matter)","Supreme Court of India (9-judge bench)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","Property Owners' is one of the nine-judge bench cases listed to be heard by the Supreme Court in 2024.","2024-03-30","lookup needed","DISPOSED: Decided by the Supreme Court on 5 November 2024. Retained as 32-year pre-judgment delay illustration."
"7","Property Owners' Association v State of Maharashtra (Golwalla connected SLP)","Supreme Court of India (9-judge bench connected matter)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","The list is dominated by cases connected to a 1986 amendment from Maharashtra. Various landowners have challenged the amendment.","2024-03-30","lookup needed","Status post-5-Nov-2024 main judgment must be checked individually."
"8","Property Owners' Association v State of Maharashtra (Dharamdas connected SLP)","Supreme Court of India (9-judge bench connected matter)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","The list is dominated by cases connected to a 1986 amendment from Maharashtra.","2024-03-30","lookup needed","Status post-5-Nov-2024 main judgment must be checked individually."
"9","Property Owners' Association v State of Maharashtra (Krishanlal Thakar connected SLP)","Supreme Court of India (9-judge bench connected matter)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","The list is dominated by cases connected to a 1986 amendment from Maharashtra.","2024-03-30","lookup needed","Status post-5-Nov-2024 main judgment must be checked individually."
"10","Property Owners' Association v State of Maharashtra (Vinodray Sanghavi connected SLP)","Supreme Court of India (9-judge bench connected matter)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","The list is dominated by cases connected to a 1986 amendment from Maharashtra.","2024-03-30","lookup needed","Status post-5-Nov-2024 main judgment must be checked individually."
"11","Property Owners' Association v State of Maharashtra (Pramila Mohandas connected SLP)","Supreme Court of India (9-judge bench connected matter)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","The list is dominated by cases connected to a 1986 amendment from Maharashtra.","2024-03-30","lookup needed","Status post-5-Nov-2024 main judgment must be checked individually."
"12","Property Owners' Association v State of Maharashtra (Shivram Yerala connected SLP)","Supreme Court of India (9-judge bench connected matter)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","The list is dominated by cases connected to a 1986 amendment from Maharashtra.","2024-03-30","lookup needed","Status post-5-Nov-2024 main judgment must be checked individually."
"13","Property Owners' Association v State of Maharashtra (further connected SLP, 7th in batch)","Supreme Court of India (9-judge bench connected matter)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","The list is dominated by cases connected to a 1986 amendment from Maharashtra.","2024-03-30","lookup needed","Status post-5-Nov-2024 main judgment must be checked individually."
"14","Raichand Korshi Shah v Malshi Meghji Charla","Supreme Court of India (9-judge bench, Dawoodi Bohra connected matter)","1991","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","24 cause titles pending more than 30 years per the SC Registry's RTI response (March 2024).","2024-03-30","lookup needed","Filing year approximate per article; pendency reported as ~33 years."
"15","All India Judges Association v Union of India","Supreme Court of India (Division Bench, continuing mandamus)","1989","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","24 cause titles pending more than 30 years per the SC Registry's RTI response (March 2024).","2024-03-30","lookup needed","Continuing mandamus matter spanning multiple judgments on judicial salaries and conditions; main matter remains on docket."
"16","State of Assam v Union of India (boundary dispute Original Suit, batch 1)","Supreme Court of India (Original Suit, boundary dispute)","1988","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","Since then, Arunachal and Assam have sought to settle their differences out of court. The matter will be next heard on 29 April 2024.","2024-03-30","lookup needed",""
"17","State of Assam v Union of India (boundary dispute Original Suit, batch 2)","Supreme Court of India (Original Suit, boundary dispute)","1992","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","Article lists two State of Assam boundary-dispute Original Suits in this batch of 24 cases pending 30+ years.","2024-03-30","lookup needed",""
"18","Shamrao Bajirao Pawar v Housabai","Supreme Court of India","1988","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","24 cause titles pending more than 30 years per the SC Registry's RTI response (March 2024).","2024-03-30","lookup needed","Filing year approximate; article internally inconsistent on date."
"19","Central Board of Dawoodi Bohra Community v State of Maharashtra","Supreme Court of India (9-judge bench)","1986","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","Nine-judge bench | Pending for 38 years, 1 months and 2 days. The Bombay Prevention of Excommunication Act, 1949 prohibited the excommunication practice that was exercised by the Dawoodi Bohra religious leader.","2024-03-30","lookup needed",""
"20","M.C. Mehta v Union of India (Delhi water tankers / Yamuna pollution batch)","Supreme Court of India (continuing mandamus)","1985","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","One of three M.C. Mehta-connected batches pending more than 30 years on the Court's RTI list.","2024-03-30","lookup needed",""
"21","M.C. Mehta v Union of India (Delhi commercial premises / industries closure batch)","Supreme Court of India","1985","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","Listed among the 24 oldest pending cases.","2024-03-30","lookup needed",""
"22","M.C. Mehta v Union of India (Taj Trapezium Zone batch)","Supreme Court of India","1984","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","Listed among the 24 oldest pending cases.","2024-03-30","lookup needed",""
"23","Abdul Karim Banday v Union of India","Supreme Court of India (3-judge bench)","1982","https://www.scobserver.in/journal/what-are-the-oldest-pending-cases-at-the-supreme-court/","Listed in the SCO RTI table of cases pending 30+ years.","2024-03-30","lookup needed",""
